AC_Input,Availability,Connectivity_Interface,Filament_Compatibility,Filament_Diameter,Layer_Thickness,Machine_Dimensions,Machine_weight,Nozzle_Diameter,Operating_System,Power_Requirements,Print_Plate,Print_Speed,Print_size,Printing_Software,Sold_by,Supported_File_Formats,Warannty,price,title
,In Stock,,,,,,,,,,,,,,He3D,,,$46 USD,3D Printer Filament ABS - Free Shipping Worldwide
,Out Of Stock,Online and TF Card offline.,PLA/ABS/TPU/PVA,1.75mm,,400*400*465mm,10 Kg,0.4mm,"Win, Mac and Linux",Input : 100 - 240V AC output : 24V,,10 - 80 mm/sec,200 x 200 x 200 mm,"Cura, Repetier-Host, Simplify 3D",Creality,STL/OBJ/AMF,,$599 USD,Creality CP-01 3-in-1 Modular DIY 3D Printer Kit
,Out Of Stock,"USB, SD Card ",PLA/ABS/Soft rubber/wood Etc,1.75 mm,0.05-0.4mm,,4.2 kg,0.4 mm,Windows/Mac/Linux,"12 V, 120 W",Heatbed,200 mm/sec,150×150×200 mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$299 USD,CREALITY 3D Ender-2 Mini 3D Printer
,Out Of Stock,"USB, SD Card ",PLA/ABS/wood/flexible rubber/carbon fiber,1.75 mm,0.05-0.4mm,,,0.4 mm,Windows/Mac/Linux,"12 V, 120 W",Heatbed,200 mm/sec,200*200*200mm,Cura/Repetier-Host,Creality,"STL, Gcode, OBJ",1 year,$885 USD,CREALITY 3D CR-2020 Auto Levelling Assembled 3D Printer
,Out Of Stock,,"PLA, PETG, Wood, PVA and Flexible Filaments. ",1.75 mm,0.1 mm,390 x 370 x 485 mm,12 Kg,"0.4 mm
",Windows / MAC,"100 to 240 V, 120 W",,30 to 250 mm/sec,200 x 200 x 200 mm,"Cura, Repetier-host, Simplify 3d, Slic3r",Cbot 3D,"STL, GCODE",1 Year,$600 USD,Cbot CK 2 Multi Functional 3D Printer
,Out Of Stock,"USB, SD Card","PLA, ABS, Wood, Nylon and TPU (Flexible)",1.75 mm,0.1 to 0.4 mm,480*370*410mm,20 Kg,0.4 mm,Windows/Linux/MAC,110 V to 240 V,MK3 HeatBed,30 to 300 mm/sec,290 x 200 x 230 mm,"Cura, Repetier Host",Cbot 3D,"STL, DAE, OBJ, Gcode",1 Year,$850 USD,Cbot 3D D2 - Multi Functional 3D Printer - Metal Chassis
,Out Of Stock,"USB, SD card, Wifi","PLA, ABS, PETG, Wood, PVA and Flexible Filaments",1.75 mm,0.05 - 0.4mm,370 x 400 x390 mm,12. 8 Kg,0.4 mm,Windows/Mac,"110-240V AC,1.5A,50/60HZ",Glass,30 to 300 mm/sec,160 x 160 x 180 mm,Cura,Cbot 3D,"STL, Gcode ",One year ,$450 USD,Cbot 3D CN1- Fully Assembled Desktop 3D Printer
,Out Of Stock,"USB, SD card","ABS, PLA, Wood and TPU",1.75 mm,0.1 - 0.4mm,480 x 370 x 410 mm,20 Kg,0.4 mm,Windows/Mac,110-220V,,30 to 300 mm/sec,200 x 200 x 200 mm,Cura,Cbot 3D,"STL, Gcode ",,$650 USD,Cbot 3D CK1 High Precision 3D Printer
,Out Of Stock,"USB, SD card","PLA, PETG, Wood, PVA and Flexible Filaments",1.75 mm,0.05 - 0.4mm,370 x 400 x390 mm,12 Kg,0.4 mm,Windows/Mac,"110-240V AC,1.5A,50/60HZ",Glass,30 to 300 mm/sec,210 x 200 x 180 mm,Cura,Cbot 3D,"STL, Gcode ",One year ,$499 USD,Cbot 3D C Box- Fully Assembled Metal Frame 3D Printer
,In Stock,USB or SD Card or Type C data cable,"PLA ,ABS, PETG,TPU etc.",1.75mm,,412*492*402 mm,8 Kg,0.4 mm,Win/mac/linux,100 - 120V / 200 - 240V  50 / 60 HZOutput Voltage - 24VRated Power - 270W,,60-100mm/s,235*235*270mm,"repetier-host, CURA, Simplify3D",Biqu,"STL,G-Code,AMF,OBJ",One Year,$298 USD,BIQU B1 3D Printer Kit
,Out Of Stock,"LCD, USB, SD Card.","PLA, ABS, WOOD, HIPS, NYLON, PVA",1.75mm,,400*425*415 mm,10.5kg,,"WIndows, Mac and Linux","With UL CertificationInput: 100-120V, 6.8A/ 200-240V,3.4A 50/60HzOutput: 24V/14.6A Power cable: with UL Certification and ground line. ",Heated Bed: 3mm aluminum alloy platform," Normal: 80mm/s, Max.: 200mm/s",270*210*200mm,"Cura, Slic3d, simplify3d, etc.",Hictop,".stl, .obj",One Year,$549 USD,Athorbot Buddy Couple Dual Extruder 2-in-1 3D Printer.
,Out Of Stock,"LCD, USB, SD Card.","PLA, ABS, WOOD, HIPS, NYLON, FLEXIBLE, PC and PET-G",1.75mm,,520*430*520mm,16kg,,"WIndows, Mac and Linux","With UL CertificationInput: 100-120V, 6.8A/ 200-240V,3.4A 50/60HzOutput: 24V/14.6A Power cable: with UL Certification and ground line. ",Heated Bed: 3mm aluminum alloy platform," Normal: 80mm/s, Max.: 200mm/s",300*300*300mm,"Cura, Slic3d, simplify3d, etc.",Hictop,".stl, .obj",One Year,$495 USD,Athorbot Brother Fully-Assembled Desktop 3D Printer
,In Stock,"USB, SD-Card","PLA, ABS, Flexible PLA, TPU, Wood, PVA, HIPS",1.75 mm,0.1 - 0.3 mm,550 x 405 x 640 mm,14 kg,0.4 mm,"Windows, MacOS, Linux","110-240V AC, 50/60Hz, 1.5A",,150 mm /sec,300 x 300 x 400 mm,"Cura, Repetier Host, Simplify3D",Artillery,".STL, .OBJ, .GCODE",One Year,$399 USD,Artillery Sidewinder X1 V4 3D Printer Kit
,In Stock,"USB,TF Card, USB Stick","PLA,ABS,TPU,Flexible Filaments.",1.75mm,,430*390*590mm,8.9 Kg,0.4mm,"Win, Mac and Linux","110/220 V, 350W",,250mm/s,220*220*250mm,"Cura, Repetier-Host, Simplify 3D",Artillery,STL/OBJ/Gcode/JPG/PNG,,$219 USD,Artillery Hornet 3D Printer Kit
,In Stock,"USB,TF Card, USB Stick","PLA,ABS,TPU,Flexible Filaments.",1.75mm,,430*390*590mm,8.9 Kg,0.4mm,"Win, Mac and Linux",600W (Max),,250mm/s,220*220*250mm,"Cura, Repetier-Host, Simplify 3D",Artillery,STL/OBJ/Gcode/JPG/PNG,,$269 USD,Artillery Genius 3D Printer Kit
12 Voltage DC,Out Of Stock,"SD Card, USB line","PLA, ABS, HIPS, Wood",,,475*410*460mm,8 kg,0.4mm,,"110V/220V AC, 50/60Hz",,20~60mm/s,210 x 210 x 250 (mm),"Cura, Simplify3D",Anycubic,"STL, .OBJ, .AMF, GCODE",1 year,$275 USD,Anycubic Reprap i3 3D Printer Kit
"100-240 V, Power rate 500W",In Stock,"USB, SD Card","PLA, ABS, PVA, HIPS,PETG, TPU,TPE,Wood,Flex, conductive consumables",1.75 mm,0.05mm to 0.4mm,670 x 615 x 695 mm,38 kg,0.4 mm ,Windows/MAC/LINUX,500 W,HeatBed ,max 80 to 220 mm/sec,280 X 250 X 300 mm,"Simplify3D, Makerware, ReplicatorG, Slic3r, Cura, Skeinforge",Flashforge,3MF/STL/OBJ/FPP/BMP /PNG/JPG/JPEG Output: GX/G ,One Year,"$2,499 USD",Flashforge Guider 2S 3D Printer
"100-240 V, Power rate 500W",In Stock,"USB, SD Card","PLA, ABS, PVA, HIPS,PETG, TPU,TPE,Wood,Flex, conductive consumables",1.75 mm,0.05mm to 0.4mm,670 x 615 x 695 mm,38 kg,0.4 mm ,Windows/MAC/LINUX,500 W,HeatBed ,max 80 to 220 mm/sec,280 X 250 X 300 mm,"Simplify3D, Makerware, ReplicatorG, Slic3r, Cura, Skeinforge",Flashforge,3MF/STL/OBJ/FPP/BMP /PNG/JPG/JPEG Output: GX/G ,One Year,"$1,199 USD",Flashforge Guider 2 3D Printer
12V 5A,In Stock,USB,,,50 x 50um,280*240*465mm,12.5 kg,,Mac OSX / Windows 7 or above,,,30 - 40mm height/h (max),192*120*200mm,ChituBox/FlashDLPrint,Flashforge,"stl, .obj, .3mf, .nmk",,$799 USD,Flashforge Foto 8.9 4K Mono LCD Resin 3D Printer
12V 5A,In Stock,USB,,,50 x 50um,230*200*410mm,6.8 kg,,Mac OSX / Windows 7 or above,,,30 - 40mm height/h (max),130*78*155mm,ChituBox/FlashDLPrint,Flashforge,"stl, .obj, .3mf, .nmk",,$245 USD,Flashforge Foto 6.0 2K Mono LCD Resin 3D Printer
,In Stock,"USB Cable, USB Stick. Ethernet",PLA,1.75 mm ,0.1 mm,420 x 420 x 420 mm,11 Kg,0.4 mm,"Windows 7/ 8 / Vista
Mac OS X","115-230 V, 50-60 Hz, 150 W",Non HeatBed ,30 to 100 mm/sec,140 x 140 x 140 mm,FlashPrint,Flashforge,"STL, OBJ",One Year,$249 USD,Flashforge Finder Lite 3D Printer
,In Stock,"Wi-Fi, USB Cable, USB Stick.",PLA,1.75 mm ,0.1 mm,420 x 420 x 420 mm,11 Kg,0.4 mm,"Windows 7/ 8 / Vista
Mac OS X","115-230 V, 50-60 Hz, 150 W",Non HeatBed ,30 to 100 mm/sec,140 x 140 x 140 mm,FlashPrint,Flashforge,"STL, OBJ",One Year,$299 USD,Flashforge Finder 2 3D Printer
"110V-220V,adjustable",In Stock,"USB, WIFI, SD Card","ABS,PLA,PVA,HIPS",1.75mm,0.1-0.5mm,480×400×335mm,16.5 kg,0.4mm,Windows/MAC/LINUX,350W,heated bed ,30 to 150 mm/sec,230 x 150 x 140 mm,Flashprint,Flashforge,"Input STL/OBJ , Output GX/G",One Year,$390 USD,Flashforge Dreamer NX 3D Printer
"110V-220V,adjustable",In Stock,"USB, WIFI, SD Card","ABS,PLA,PVA,HIPS",1.75mm,0.1-0.5mm,480×400×335mm,16.5 kg,0.4mm,Windows/MAC/LINUX,350W,heated bed ,30 to 150 mm/sec,230 x 150 x 140 mm,Flashprint,Flashforge,"Input STL/OBJ , Output GX/G",One Year,$589 USD,Flashforge Dreamer Dual Extruder 3D Printer
"100-240 V, ~2amps, 50-60 Hz",In Stock,"USB, SD Card","ABS,PLA,PVA,HIPS",1.75 mm,0.1 to 0.5 mm,526 x 360 x 403 mm,14.8 kg,0.4 mm ,Windows/MAC/LINUX, 350 W,HeatBed ,40 to 100 mm/sec,227 X 148 X 150 mm,"Simplify3D, Makerware, ReplicatorG, Slic3r, Cura, Skeinforge",Flashforge,"STL, OBJ",One Year,$599 USD,Flashforge Creator Pro Dual Extruder 3D Printer
"100-240 V, ~2amps, 50-60 Hz",In Stock,"USB, SD Card","ABS,PLA,PVA,HIPS,PETG",1.75 mm,0.1 to 0.5 mm,526 x 360 x 403 mm,14.8 kg,0.4 mm ,Windows/MAC/LINUX, 320 W,HeatBed ,10 to 100 mm/sec,"240 X 148 X 150 mm
mirror mode:80*148*150mm","Simplify3D, Makerware, ReplicatorG, Slic3r, Cura, Skeinforge",Flashforge,"STL, OBJ",One Year,$799 USD,Flashforge Creator Pro 2 IDEX 3D Printer
"100-240 V, Power rate 500W",In Stock,"USB, SD Card, Wifi, Ethernet, Flashcloud","PLA, ABS, PVA, HIPS,PETG, TPU,TPE,Wood,Flex, conductive consumables",1.75 mm,0.05mm to 0.4mm,627 x 485 x 615 mm,40 kg,0.4 mm ,Windows/MAC/LINUX,500 W,,10 to 200 mm/sec,300 X 250 X 200 mm,"Simplify3D, Makerware, ReplicatorG, Slic3r, Cura, Skeinforge",Flashforge,3MF/STL/OBJ/FPP/BMP /PNG/JPG/JPEG Output: GX/G ,One Year,"$3,199 USD",Flashforge Creator 3 IDEX 3D Printer
,In Stock,"USB stick, Wi-Fi, Ethernet FlashCloud, PolarCloud","PLA,ABS,etc",1.75 mm ,0.1 mm,388*340*405 mm,9 Kg,0.4 mm,"Windows 7/ 8 / Vista
Mac OS X","100-240 VAC, 47-63HzOutput: 24 V, 6.25 APower: 150 W",,10-100 mm/s,150*150*150 mm,FlashPrint,Flashforge,.3mf / .stl / obj / .fpp / .bmp / png jpg / jpeg files,One Year,$295 USD,Flashforge Adventurer 3 Lite 3D Printer
,In Stock,"USB stick, Wi-Fi, Ethernet FlashCloud, PolarCloud","PLA,ABS,etc",1.75 mm ,0.1 mm,388*340*405 mm,9 Kg,0.4 mm,"Windows 7/ 8 / Vista
Mac OS X","100-240 VAC, 47-63HzOutput: 24 V, 6.25 APower: 150 W",,10-100 mm/s,150*150*150 mm,FlashPrint,Flashforge,.3mf / .stl / obj / .fpp / .bmp / png jpg / jpeg files,One Year,$440 USD,Flashforge Adventurer 3 3D Printer
,In Stock,"USB, SD Card, Wifi (Optional)","PLA, PET(G), Flex, ABS, PVA, Wood, Glass.",1.75 mm,0.05 to 0.25 mm,420 x 400 x 550 mm,11.5 Kg,0.35 mm,"Windows, Mac, Linux",,Heated Print Bed,,237 x 244 x 235 mm,"Simplify3D, FELIXbuilder or Repetier Host",Felix,"STL, OBJ, 3DS, AMF",1 year warranty ,"$2,354 USD",FELIX PRO 2 - Assembled 3D Printer
"110-240V, automatically adjusting powersupply",In Stock,"USB, MicroSD card reader","PLA, PET (G), Wood, Arnitel, T-glase, NinjaFlex, HIPS, ABS, Laybrick, PVA and Nylon",1.75 mm,Minimum 0.05 mm,400 x 400 x 520 mm,9 Kg,0.35 mm,Windows/MAC/Linux,250 W,Aluminum Heated Bed,150 mm/sec,255 x 205 x 225 mm,FELIXbuilder,Felix,stl,1 year,"$1,699 USD",Felix 3.1 Fully Assembled - High Speed 3D Printer
"110-240V, automatically adjusting powersupply",In Stock,"USB, MicroSD card reader","PLA, PET (G), Wood, Arnitel, T-glase, NinjaFlex, HIPS, ABS, Laybrick, PVA and Nylon",1.75 mm,Minimum 0.05 mm,400 x 400 x 520 mm,9 Kg,0.35 mm,Windows/MAC/Linux,250 W,Aluminum Heated Bed,150 mm/sec,255 x 205 x 225 mm,FELIXbuilder,Felix,stl,1 year,$999 USD,Felix 3.1 DIY Kit - High Speed 3D Printer
110-240V,In Stock,"WiFi, wired, USB",,,50 x 50um,270mm * 260mm * 420mm,7 kg,,Mac OSX / Windows 7 or above,DC 12V / 60W,,30 - 40mm height/h (max),130 x 75 x 150mm,NovaMaker,Nova3D,"stl, .obj, .3mf, .nmk",,$246 USD,Nova3D Elfin2 Mono SE LCD Resin 3D Printer
110-240V,Out Of Stock,"WiFi, wired, USB",,,50 x 50um,260mm * 270mm * 420mm,7.3 kg,,Mac OSX / Windows 7 or above,DC 12V / 60W,,30 - 40mm height/h (max),130 x 70 x 150mm,NovaMake,Nova3D,"stl, .obj, .3mf, .nmk",,$149 USD,Nova3D Elfin UV Light Curing LCD Resin 3D Printer
110-240V,In Stock,"Wifi, Ethernet or LAN Connection, USB Flash Drive",,,50 x 50um,236mm*243mm*421mm,9.5 kg,,Windows 7/8/10,DC 12V / 50W,,30 - 40mm height/h (max),130 x 70 x 150mm,NovaMake,Nova3D,"STL,OBJ,NMK",,$371 USD,Nova3D Bene 4 Mono LCD Resin 3D Printer
110-240V,In Stock,"Wifi, Ethernet or LAN Connection, USB Flash Drive",,,50 x 50um,236mm*243mm*421mm,9.5 kg,,Windows 7/8/10,DC 12V / 50W,,30 - 40mm height/h (max),130 x 70 x 150mm,NovaMake,Nova3D,"STL,OBJ,NMK",,$260 USD,Nova3D Bene 4 LCD Resin 3D Printer
110-240V,Out Of Stock,"Wifi, Ethernet or LAN Connection",,,50 x 50um,210mm*210mm*386mm,9 kg,,Windows 7/8/10,DC 12V / 60W,,30 - 40mm height/h (max),130 x 70 x 150mm,NovaMaker,Nova3D,"STL,CWS,3MF",,$509 USD,Nova3D Bene 3 Large Face Light Curing Resin 3D Printer
,In Stock,"USB, SD-Card","ABS, PLA, HIPS, Nylon, PEEK,  etc",1.75 mm,0.1 - 0.3 mm,797 x 670 x 817 mm,25 kg,0.4 mm,"Windows, MacOS, Linux",350W,,120 mm /sec,500x500x500mm/500x500x600/500x500x700/500x500x800mm.,"Cura, Repetier Host, Simplify3D",Multoo,".STL, .OBJ, .GCODE",One Year,"$1,599 USD",Multoo MT3X Large IDEX 3D Printer
,Out Of Stock,"USB, SD-Card","ABS, PLA, HIPS, Nylon, PEEK, etc",1.75 mm,0.1 - 0.3 mm,800 x 650 x 900 mm,28 kg,"0.6 mm (0.2,0.3,0.5,0.8,1.0 mm optional)","Windows, MacOS, Linux",1000W,,120 mm /sec,500 x 500 x 500 mm (Z Axis height upgrade - 600mm/700mm/800mm),"Cura, Repetier Host, Simplify3D",Multoo,".STL, .OBJ, .GCODE",One Year,$999 USD,Multoo MT3S Large 3D Printer
,In Stock,"USB, SD-Card","ABS, PLA, HIPS, Nylon etc",1.75 mm,0.1 - 0.3 mm,797 x 670 x 817 mm,25 kg,0.4 mm,"Windows, MacOS, Linux",350W,,120 mm /sec,500 x 500 x 500 mm,"Cura, Repetier Host, Simplify3D",Multoo,".STL, .OBJ, .GCODE",One Year,"$1,299 USD",Multoo MT2X IDEX 3D Printer
,Out Of Stock,SD Card/USB Cable,"PLA, ABS, PVA, HIPS, PETG, Wood",1.75 mm,0.05 to 0.3mm,400 x 200 x 300 mm,20 kg,0.4 mm,Windows/Mac/Linux,,HeatBed,1 to 180 mm/sec,300 x 240 x 300 mm,Cura/Makerbot Desktop/Slic3r/Simplify3D,Multoo,"STL, Gcode, OBJ",,$649 USD,Multoo MT2 Mini Full Metal High Speed 3D Printer
,In Stock,SD Card/USB Cable,"PLA, ABS, PVA, HIPS, PETG, Wood",1.75 mm,0.05 to 0.3mm,610 x 530 x 710 mm,21 kg,0.4 mm,Windows/Mac/Linux,,HeatBed,1 to 180 mm/sec,"400 x 400 x 500mm (MT2 S)
500 x 500 x 600mm (MT2 B)",Cura/Makerbot Desktop/Slic3r/Simplify3D,Multoo,"STL, Gcode, OBJ",,"$1,079 USD",Multoo MT2 Full Metal Large Format  High Speed 3D Printer
,In Stock,,ABS & PLA,1.75 mm,0.05 to 0.4 mm,,,0.4 mm,Windows/MAC/Linux,"100-240V AC, 350 W",HeatBed,40 to 60 mm/sec,180 x 170 x 160 mm,Cura,Mmuse,"STL, Gcode",3 Months,$585 USD,Mmuse - Touch Screen APP WIFI Smart 3D Printer
,In Stock,"WIFI, USB, SD card",,,,723*380*554 mm,25 Kg,0.8 mm,,,,30 to 60 mm/sec,160 x 120 x 150 mm,,Mmuse,"STL, Gcode",3 Months,"$5,700 USD",Mmuse - New Touchscreen Chocolate 3D Printer
,In Stock,TF card,,,,310*390*600mm,10 Kg,0.6 to 1.0 mm,,,,30 to 100 mm/sec,120 x 120 x 50 mm,,Mmuse,"STL, Gcode",3 Months,"$5,400 USD",Mmuse - New Desktop Chocolate 3D Printer
,In Stock,,PLA/ABS/HIPS/PVA,1.75 mm,0.02 to 0.4 mm,,,0.4 mm,Windows/MAC/Linux,100-220 V 50 Hz,HeatBed,40 to 120 mm/sec,225 x 220 x 370 mm,Cura,Mmuse,"STL, Gcode",3 Months,$750 USD,Mmuse - JP Z370 Ultimaker Clone – 3D Printer Kit
,In Stock,,,,,275*150*180mm,5 Kg,0.4 mm,,,,150 to 300 mm/sec,100 x 100 x 100 mm,,Mmuse,"STL, Gcode",3 Months,"$1,140 USD",Mmuse - Delta Model Desktop Food 3D Printer
110V/220V,In Stock,SD card & USB,ABS and PLA (Recommended),1.75mm,0.1mm-0.3mm,332x330x308mm,11 Kg,0.4mm,Windows/MAC/Linux,110V/220V 50Hz/60Hz 90W,Glass fiber ,50 to 120mm/sec,140 x 140 x 135 mm,Mprint,Mbot 3D,STL/OBJ,1 Year for electronics,$565 USD,Mbot Mini Desktop 3d printer
,In Stock,USB 2.0 / SD Flash Drive,"PLA, PETG, Wood, PVA and Flexible Filaments. ",1.75 mm,0.1 mm,370 x 400 x 390 mm,12 Kg,"0.4 mm
",Windows / MAC,"100 to 240 V, 120 W",Glass Plate,30 to 300 mm/sec,210 x 180 x 200 mm,CURA,Weistek,"STL, GCODE",1 Year,$752 USD,Weistek A Box - Fully Assembled Metal 3D Printer
"240 W,  0.89 A",In Stock,"via TF card or USB,SD card","PLA, ABS, PVA, NinjaFlex, Nylon, LayWoo-D3, LayBrick, CopperFILL, BronzeFILL, MOLDLAY, Conductive, plus more!",1.75 mm ,0.1 -0.4 mm,400 x 410 x 400 mm,10 Kg,"0.4 mm
","Windows/MAC/Linux
","110V or 220V , 50 Hz","i3 MK3 heating board plate, aluminium plate",30 to 90 mm/sec,"200 x 200 x 180 mm

","Repetier (Opensource), CURA (Opensource), Simplify 3D",Wanhao,.STL GCode,1 Year,$357 USD,Wanhao i3 v2.1 3D Printer
,In Stock,"USB, SD-Card, Wifi","PLA, PVA, PEVA, ABS, Nylon",1.75 mm,0.1 - 0.3 mm,400 x 396 x 575 mm,17 kg,0.4 mm,"Windows, MacOS, Linux","Inside 110 AND 250V(optional), 50/60Hz, 4.0A(input), and takes standard IEC cable",,100 mm /sec,200 x 200 x 175 mm,"Cura-Wanhao Edition, Simplify 3D",Wanhao,".STL, .GCODE",One Year,$737 USD,Wanhao GR2 3D Printer
,In Stock,,405nm Resin,,35-100 micron,,12.5 kg,,,"110 AND 250V(Auto Switch), 50/60Hz, 4.0A (input)",,,140*78*200mm,WANHAO GR1 WORKSHOP,Wanhao,.STL,One Year,$599 USD,Wanhao GR1 Dental DLP Resin 3D Printer
,In Stock,"USB Port,SD card","PLA, ABS, PVA, Stainless Steel, NinjaFlex, Nylon, HIPS, Woodfill, LayBrick, CopperFILL, BronzeFILL, MOLDLAY, Conductive, Carbon Fiber, Polyurethane plus more!",1.75 mm ,0.1 -0.4 mm,400 x 410 x 400 mm,10 Kg,"0.4 mm
","Windows/MAC/Linux
",100 to 240V AC,Heated Bed Plate and Wanhao Adhesive Sheet,30 to 90 mm/sec,"200 x 200 x 180 mm

","CURA, MatterControl, Simplify 3D",Wanhao,.STL GCode,1 Year,$399 USD,Wanhao Duplicator i3 Plus Mark 2 3D Printer
,In Stock,SD Card & USB,"PLA, ABS, PVA, Stainless Steel, NinjaFlex, Nylon, HIPS, Woodfill, LayBrick, CopperFILL, BronzeFILL, MOLDLAY, Conductive, Carbon Fiber, Polyurethane plus more!",1.75mm,,385 x 435 x 330mm,7kg,,,,Non Heated Bed Plate and Wanhao Adhesive Sheet,,150mm x 150mm x 115mm,"CURA (Wanhao Edition), MatterControl (Free Download Online), Simplify 3D ",Wanhao,Gcode,1 Year,$199 USD,Wanhao Duplicator i3 Mini 3D Printer
,In Stock,"USB, SD-Card","PLA, PVA, PEVA, PLA, Nylon",1.75 mm,0.1 - 0.4 mm,660 x 670 x 270 mm,16 kg,0.4 mm,,"Inside 110 AND 250V(optional), 50/60Hz, 4.0A(input), and takes standard IEC cable",,70mm/s,300mm X 300mm X 400mm / 400mm x 400mmx 400mm / 500mm x 500mm x 500mm,"Cura, Repetier Host, Simplify3D",Wanhao,,One Year,$545 USD,Wanhao Duplicator 9 Mark-2  3D Printer
,In Stock,"USB, SD Card, Touch Screen","PLA, PVA, PEVA, PLA, Nylon, Any material melting<=300 deg C",1.75 mm,100 micron- 400 micron,,16 Kg,,Windows/Mac/Linux,,,70 mm/s,300*300*400mm/ 400*400*400mm / 500*500*500mm,"Repetier host, Cura and Simplify3D",Wanhao,"STL, Gcode, OBJ",One year,$499 USD,Wanhao Duplicator 9 Mark I 3D Printer Kit
,In Stock,,405nm Resin,,35-100 micron,,22 kg,,,"110 AND 250V(Auto Switch), 50/60Hz, 4.0A (input)",,,192*120*180mm,Internal Wanhao Slicer,Wanhao,.STL,One Year,$925 USD,Wanhao Duplicator 8 DLP Resin 3D Printer
