AC_Input,Availability,Connectivity_Interface,Filament_Compatibility,Filament_Diameter,Layer_Thickness,Machine_Dimensions,Machine_weight,Nozzle_Diameter,Operating_System,Power_Requirements,Print_Plate,Print_Speed,Print_size,Printing_Software,Sold_by,Supported_File_Formats,Warannty,price,title
DC 400W 24V(With heat bed) ,Out Of Stock,High-speed USB device interface or SD card,"  PLA, Flexible PLA, Wood (Without Heat bed) Nylon, HIPS and ABS (With Heatbed)
",1.75mm,0.05-0.4mm,1120*430*430 mm,10 kg,0.4mm,"Windows , Linux,  Mac",AC110-220V,Heatbed,300 mm/sec,280 x 280 x 600 mm ,"Repetier host,Pronterface",Tevo,"STL, G-code",12 Months,$720 USD,Tevo Little Monster Large Delta 3D Printer
,Out Of Stock,"SD card(off-line), contact to the PC(on-line)","PLA, ABS, Flexible PLA, HIPS, WOOD, PVA",1.75mm,,,,Standard 0.4mm(can be changed to 0.3/0.2mm etc),Windows/Linux/OS X,,,150 mm/s,235 x 235 x 250 mm,,Tevo,,One Year,$299 USD,Tevo Flash 3D Printer Kit
0.89A,Out Of Stock,"TF card or USB, LCD display and SD card reader","PLA, ABS, Nylon, PETG, Wood, PVA and Flexible Filaments (With Pro Metal Extruder). ",1.75mm,0.05 mm,430 x 440x 400mm,7.5 Kg,"0.4 mm 
","Windows, Linux,  Mac",100 to 240 V/120 W,MK3 - Integrated aluminum plate and heatbed,30 to 150 mm/sec,200 x 200 x 200 mm,"Cura, Repetier-Host",Tevo,"STL, G-code",1 Year,$359 USD,Tevo 3D Tarantula - Single/Dual Extruder 3D Printer Kit
50/60 Hz AC power,Out Of Stock,"USB, LCD display and SD card reader
","PLA, ABS, Nylon, PETG,   Wood, PVA and Flexible Filaments ",1.75mm,50 microns,650*510*520mm,13kg,"0.4mm (customized 0.3mm/0.2mm) 
","Windows, Linux,  Mac","110V/220V, 500W ", heatbed,70 mm/s,370 x 250 x 300 mm,"Cura, Repetier-Host",Tevo,"STL, G-code",1 Year,$599 USD,Tevo 3D - Black Widow Auto Leveling / Laser Engraving 3D Printer Kit
110 - 220 v,Out Of Stock,"Cloud support online, SD Card.","PLA, ABS, PETG, WOOD",,,390 x 390 x 590 mm,15 kg,0.4 mm,Win/Mac/Linux.,,,80 to 120 mm/sec,250 x 250 x 250 mm,,Sun Hokey,".STL, .OBJ, G-Code",One Year,$448 USD,Sunhokey U250 Large Desktop 3D Printer 
,Out Of Stock,,"PLA, ABS, Wood, Carbon Fiber",1.75 mm,,,,0.4 mm,,,,10 - 100mm/sec,260 x 260 x 260 mm,,Sun Hokey,,One Year,$388 USD,Sunhokey S1 Full Metal V Slot 3D Printer Kit 
,Out Of Stock,"USB, LCD display and SD card reader
","PLA, ABS, HIPS, WOOD, PVC, Nylon, PC and Flexible PLA.",1.75 mm,0.1 mm-  0.5 mm,430 x 505 x 380 mm,11 kg,0.4 mm (customized 0.3mm/0.5mm),Windows/MAC/Linux,Input: 100-120VAC/4.8A or 200-240VAC/2.4A,Heated Bed ( Aluminium Platform),40 to 100 mm/sec,210 x 210 x 190 mm,Repetier-Host,Sun Hokey,"STL, G-code",12 Months,$346 USD,Sunhokey Reprap Prusa i4 Semi Assembled 3D Printer 
"100-120VAC/4.8A or 200-240VAC/2.4A
",Out Of Stock,"USB, LCD display and SD card reader
","ABS, PLA, HIPS ,PVA, Nylon and Wood (Multi Filaments Print Supports )",1.75mm,"0.1 mm - 0.4 mm
",430 * 505 * 380 mm,"8 kg
","0.4 mm 
","Windows, Linux,  Mac", DC 12V / 30A,"Heated Bed (Aluminium)
","40 to 100 mm/sec
","200 x 200 x 180 mm
",Repetier-Host,Sun Hokey,"STL, G-code",12 Months,$234 USD,Sunhokey Acrylic Reprap Prusa i3 DIY Kit 
,In Stock,"Ethernet, USB, Wifi",,,,465 * 500* 790 mm,,,,LED Power: 160WPower Input :100-240 VAC – 50/60 HZ,,150mm to 300mm/hour,293 * 165 * 400 mm,ChiTu Box,Sparkmaker,,,"$2,299 USD",Sparkmaker PrintHero4K LCD Resin 3D Printer
,In Stock,SD Card Offline Printing,,,,170 x 275 mm,3 Kg,,,24V 2A 48W,,,98*55*125mm,Spark Studio,Sparkmaker,,,$129 USD,SparkMaker Original LCD Curing Resin 3D Printer
,In Stock,SD Card Offline Printing,,,,170 x 275 mm,3 Kg,,,DC 24V 4A 96W,,,110mm*61.8mm*125mm,Spark Studio,Sparkmaker,,,$179 USD,SparkMaker FHD LCD Curing Resin 3D Printer
,In Stock,SD Card or Data Cable,"PLA, TPU, HIPS, ABS, PETG, WOOD",1.75mm,,587.4mm (L) x 674.9mm (W) x840mm (H),13.8 Kg,0.4mm,"Windows XP/ Vista/ 7/ 10, Mac, Linux","115V/230V AC, 24V350W,24V",,20~120mm/s(suggested 60mm/s),350 x 350 x 400mm,"Cura, Simplify3D, Prusa slicer",Sovol," .STL, .OBJ, .DAE, .AMF",,$429 USD,Sovol SV03 3D Printer Kit
,In Stock,Online or SD card offline,"TPU, PLA, ABS, PETG,WOOD",1.75mm,,539*493*710mm,11.86 KG,0.4mm,"Windows, Mac, Linux","115V/230V AC, 24V350W,24V",,20 - 200mm/sec,240X280X300mm,"Cura, Simplify3D, Prusa slicer",Sovol,"AMF,OBJ,STL",,$345 USD,Sovol SV02 Mix Color 3D Printer
,In Stock,SD Card / Online Printing,"TPU, PLA, ABS, PETG,WOOD",1.75mm,,500*550*540mm,9.8 Kg,0.4mm,"Windows XP/ Vista/ 7/ 10, Mac, Linux","115V/230V AC, 24V350W,24V",,20 - 200mm/sec,240X280X300mm,"Cura, Simplify3D, Prusa slicer",Sovol,"AMF,OBJ,STL",,$269 USD,Sovol SV01 3D Printer Kit
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,56 * 45 * 42cm/ 22 * 17.7 * 16.5in,21kg/ 46.3lb,0.4mm,Windows 64-bit/macOS,"350 W, 110-220 V",,30-150 mm/s,270 * 200 * 200mm,"Cura/Qidi Print, Simplify3D",Qidi Tech,,,$719 USD,Qidi Tech X-Plus FDM 3D Printer
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,600 x 550 x 600 mm,27.9 kg,0.4mm,Windows 64-bit/macOS,"450 W, 110-220 V",,30-150 mm/s,300 x 250 x 300 mm,"Cura/Qidi Print, Simplify3D",Qidi Tech,,,"$1,029 USD",Qidi Tech X-Max Large 3D Printer
12V 5A,In Stock,USB,,,,245*230*420mm,7 kg,,Mac OSX / Windows 7 or above,50W,,20 - 40mm height/h (max),115mm(L)*65mm(W)*150mm(H),ChituBox 64,Qidi Tech,"stl, .obj, .slc",,$229 USD,Qidi Tech Shadow 6.0 Pro LCD Resin 3D Printer
12V 5A,In Stock,USB,,,,245*230*420mm,7 kg,,Mac OSX / Windows 7 or above,50W,,20 - 40mm height/h (max),115mm(L)*65mm(W)*150mm(H),ChituBox 64,Qidi Tech,"stl, .obj, .slc",,$149 USD,Qidi Tech Shadow 5.5S LCD Resin 3D Printer
12V 5A,In Stock,USB,,,,565*365*490mm,25.4 kg,,Mac OSX / Windows 7 or above,200W,,20 - 40mm height/h (max),215mm(L)*130mm(W)*200mm(H),ChituBox 64,Qidi Tech,"stl, .obj, .slc",,$689 USD,Qidi Tech S-Box Large LCD Resin 3D Printer
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,582*465*435mm,21.6kg,0.4mm,Windows 64-bit/macOS,"350 W, 110-220 V",,30-150 mm/s,260 * 200 * 200mm,"Cura/Qidi Print, Simplify3D",Qidi Tech,,,$499 USD,Qidi Tech i-Mate S FDM 3D Printer
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,582*465*435mm,20.3kg,0.4mm,Windows 64-bit/macOS,"350 W, 110-220 V",,30-150 mm/s,260 * 200 * 200mm,"Cura/Qidi Print, Simplify3D",Qidi Tech,,,$399 USD,Qidi Tech i-Mate FDM 3D Printer
,In Stock,"Ethernet, USB, Wi-Fi","ABS, PLA, PETG, TPU, nylon, carbon fiber, and PC",1.75mm,50 microns,710 x 510 x 670 mm,33 Kg,0.4mm,Windows 64-bit/macOS,"700 W, 110-220 V",,30-150 mm/s,"360×250×320mm (Single Extruder)
330×250×320mm (Dual Extruder)","Cura/Qidi Print, Simplify3D",Qidi Tech,,,"$2,299 USD",Qidi Tech i-Fast Large Dual Extruder 3D Printer
,Out Of Stock,,,,,,,,,,,,,,Flashforge,,,$18 USD,PLA filament by Flashforge - Free USA Shipping
,In Stock,"Ethernet, USB",,,,38 * 35 * 61 cm,29 Kg,,Phrozen OS,LED Power: 160WPower Input :100-240 VAC – 50/60 HZ,,Up to 200 layers/hour,290 * 160 * 400 mm,ChiTu Box,Phrozen,,,"$2,249 USD",Phrozen Transform DLP LCD Resin 3D Printer
,In Stock,"Ethernet, WiFi",,,,29 * 33 * 47 cm,19.5 Kg,,Phrozen OS,LED Power: 60WPower Input :100-240 VAC – 50/60 HZ,,Upto 200mm/hour,190 * 120 * 200 mm,,Phrozen,,,"$2,499 USD",Phrozen Sonic XL 4K LCD 3D Printer
,In Stock,"Ethernet, WiFi",,,,28 * 28 * 37 cm,11.5 Kg,,Phrozen OS,LED Power: 60WPower Input :100-240 VAC – 50/60 HZ,,Upto 60mm/hour,120 * 68 * 170 mm,,Phrozen,,,"$1,299 USD",Phrozen Sonic Ultrafast LCD Resin 3D Printer
,In Stock,"Ethernet, WiFi",,,,25 * 25 * 33 cm,4.5 Kg,,Phrozen OS,LED Power: 40WPower Input :100-240 VAC – 50/60 HZ,,Upto 60mm/hour,120 * 68 * 130 mm,,Phrozen,,,$189 USD,Phrozen Sonic Mini LCD Resin 3D Printer
,In Stock,"Ethernet, WiFi",,,,25 * 25 * 33 cm,5 Kg,,Phrozen OS,LED Power: 40WPower Input :100-240 VAC – 50/60 HZ,,Upto 60mm/hour,130 * 73 * 130 mm,,Phrozen,,,$369 USD,Phrozen Sonic Mini 4K Resin 3D Printer
,In Stock,"Ethernet, WiFi",,,,28 * 28 * 44 cm,8 Kg,,Phrozen OS,LED Power: 40WPower Input :100-240 VAC – 50/60 HZ,,Upto 80mm/hour,200 * 125 * 220 mm,,Phrozen,,,$599 USD,Phrozen Sonic Mighty 4K Resin 3D Printer
,In Stock,"Ethernet, WiFi",,,,L40 x W47 x H68cm​,35 Kg,,Phrozen OS,LED Power: 40WPower Input :100-240 VAC – 50/60 HZ,,Upto 70mm/hour,330 * 185 * 400 mm,,Phrozen,,,"$1,699 USD",Phrozen Sonic Mega 8K Resin 3D Printer
,In Stock,"Ethernet, USB",,,,22 * 26 * 45 cm,14.5 Kg,,Phrozen OS,LED Power: 60WPower Input :100-240 VAC – 50/60 HZ,,Upto 60mm/hour,130 * 73 * 198 mm,,Phrozen,,,"$1,549 USD",Phrozen Sonic 4K LCD Resin 3D Printer
,In Stock,"Ethernet, WiFi",,,,29 * 29 * 47cm,11 Kg,,Phrozen OS,LED Power: 60WPower Input :100-240 VAC – 50/60 HZ,,Upto 20mm/hour,190 * 120 * 200 mm,,Phrozen,,,$549 USD,Phrozen Shuffle XL Lite LCD Resin 3D Printer
,Out Of Stock,"Ethernet, USB",,,,39 * 29 * 47cm,22 Kg,,Phrozen OS,LED Power: 160WPower Input :100-240 VAC – 50/60 HZ,,Upto 20mm/hour,,,Phrozen,,,"$1,399 USD",Phrozen Shuffle XL 2019 LCD Resin 3D Printer
,In Stock,"Ethernet, WiFi",,,,28 * 28 * 37cm,10 Kg,,Phrozen OS,LED Power: 60WPower Input :100-240 VAC – 50/60 HZ,,Upto 25mm/hour,120 * 68 * 170 mm,,Phrozen,,,$425 USD,Phrozen Shuffle Lite LCD Resin 3D Printer
,Out Of Stock,"Ethernet, WiFi",,,,28 * 28 * 42cm,17 Kg,,Phrozen OS,LED Power: 60WPower Input :100-240 VAC – 50/60 HZ,,Upto 25mm/hour,120*68*170 mm,,Phrozen,,,"$1,999 USD",Phrozen Shuffle 4K LCD Resin 3D Printer
,Out Of Stock,"Ethernet, WiFi",,,,28 * 28 * 42cm,17 Kg,,Phrozen OS,LED Power: 60WPower Input :100-240 VAC – 50/60 HZ,,Upto 25mm/hour,120 * 68 * 200 mm,,Phrozen,,,"$1,399 USD",Phrozen Shuffle 2019 LCD Resin 3D Printer
,Out Of Stock,"USB, SD-Card"," PLA, ABS, HIPS, PVA, Nylon, TPU, etc",1.75 mm,0.1 - 0.4 mm,450 x 420 x 710 mm,11.5 kg,0.4 mm,"Windows, MacOS, Linux","360W, 110V/220V (Switchable) ",,150 mm /sec,260*310*305 mm,"Cura, Repetier Host, Simplify3D",Ortur,".STL, .OBJ, .GCODE, .DAE, .AMF",One Year,$375 USD,Ortur 4 V1 V2 Multi Functional 3D Printer
110-240V,Out Of Stock,"WiFi, wired, USB",,,50 x 50um,260mm * 270mm * 420mm,7.1 kg,,Mac OSX / Windows 7 or above,DC 12V / 60W,,30 - 40mm height/h (max),130 x 70 x 150mm,NovaMake,Nova3D,"stl, .obj, .3mf, .nmk",,$155 USD,Nova3D Elfin2 UV Light Curing LCD Resin 3D Printer
110V/220V,In Stock,SD card & USB,ABS and PLA (Recommended),1.75mm,0.05-0.3mm,405x405x405mm,18 KG,0.4mm,Windows/MAC/Linux,110V/220V 50Hz/60Hz 150W,Glass fiber ,30 to 120 mm/sec,"235 x 210x 180mm ( Single), 
200 x 210 x 180mm (Dual)",Mprint,Mbot 3D,STL/OBJ,1 Year for electronics,"$1,099 USD",Mbot Grid II Plus Dual Extruder 3D Printer
"100-240V, 50/60HZ,4.0A",In Stock,SD card & USB,"ABS , PLA and PVA",1.75mm,0.1mm to 0.3mm ajustable,405x405x410mm,,0.4mm,"Linux, MAC OSX , Windows",110v & 220v both supported. There's a voltage switch on machine.,Fiber glass plate,40 to 120 mm/sec,"250 x 220 x 190 mm (Single), 220 x 220 x 190 mm?Dual?",Mprint,Mbot 3D,"STL, Gcode",,$779 USD,Mbot Cube Dual Extruder - Personal 3D Printer
"100-240V, 50/60HZ,4.0A",In Stock,SD card & USB,ABS and PLA (Recommended),1.75mm,0.1mm to 0.3mm ajustable,,,0.4mm,"Linux, MAC OSX , Windows",110v & 220v both supported. There's a voltage switch on machine.,Fiber glass plate,40 to 120 mm/sec,"250 x 220 x 190 mm (Single), 220 x 220 x 190 mm?Dual?",Mprint,Mbot 3D,"STL, Gcode",,$505 USD,Mbot Cube - Dual - Extruder - 3D Printer Kit
110 V/220 V / 24V,In Stock,"TF card, WIFI",PLA/ABS/HIPS/PHA/PETG/PA/PC,1.75mm,,360×360×545 mm,28 Kg,0.4mm,"Win, Mac and Linux",200 W/320 W,,40-60mm/s; Max 300mm/s,200×220×300 mm,Cura/MKSlicer,MakerPi,"STL,gcode,jpg,etc",,"$1,394 USD",Makerpi M2030X Mix Color 3D Printer
,In Stock,"TF card, WIFI",PLA,1.75mm,,190*150*240mm,2.2 Kg,0.4mm,"Win, Mac and Linux",24V-48W,,40-60mm/s,100*100*100mm,Cura/MKSlicer,MakerPi,"STL,gcode,jpg,etc",,$153 USD,Makerpi M1 Mini Portable 3D Printer
,In Stock,"USB, Wifi",PLA/ABS/PHA/PETG,1.75mm,,400*400*500mm,17 Kg,0.4mm,"Win, Mac and Linux",100W/200W ,,250mm/s,200*200*300mm,"Cura, Repetier-Host, Simplify 3D",MakerPi,STL/OBJ/Gcode/JPG/PNG,,$749 USD,Makerpi K5 Plus Multi functional 3D Printer 
12V,In Stock,"USB Cable, LCD Controller",PLA,"1.75mm , 3mm",,1000 x 1000 x 600 mm,,0.4 mm,"Windows, Linux, MAC","450 watt, 12V",Glass fibre,60 mm/sec,900 x 900 x 500 mm,"Pronterface, Cura",MakeMendel,".stl, .gcode",for electronics - intial 14 days after receiving order,"$4,499 USD",MakeMendel | XLBot - Gaint 3D Printer
12V,In Stock,"USB Cable, LCD Controller",ABS & PLA,"1.75mm , 3mm",,450 x 350 x 370 mm,12 kg,0.4 mm,"Windows, Linux, MAC","450 watt, 12V",heated bed or glass fibre,60 mm/sec,220 x 220 x 165 mm,"Pronterface, Cura",MakeMendel,".stl, .gcode",for electronics - intial 14 days after receiving order,$749 USD,MakeMendel | RapidBot 3.0 3d printer
"12V, 20Amp",In Stock,"USB Cable, Micro SDCard",ABS & PLA,"1.75mm , 3mm",,450 x 350 x 370 mm,12 kg,0.4 mm,"Windows, Linux, MAC","450 watt, 12V",heated bed or glass fibre,60 mm/sec,220 x 220 x 165 mm,"Pronterface, Cura",MakeMendel,".stl, .gcode",3 months,"$1,149 USD",MakeMendel | PlusBot 2.0 3D Printer
12V,In Stock,"USB Cable, LCD Controller",ABS & PLA,"1.75mm , 3mm",,900 x 350 x 500 mm,35 kg,0.4 mm,"Windows, Linux, MAC","450 watt, 12V",Glass fibre,60 mm/sec,700 x 220 x 185 mm,"Pronterface, Cura",MakeMendel,".stl, .gcode",for electronics - intial 14 days after receiving order,"$1,299 USD",MakeMendel | MegaBot - Large 3D Printer
"12V, 30Amp",In Stock,"USB Cable, Micro SDCard",ABS & PLA,"1.75mm , 3mm",,700 x 450 x 450 mm,73 kg,0.4 mm,"Windows, Linux, MAC","450 watt, 12V",Glass fibre,60 mm/sec,600 x 300 x 300 mm,"Pronterface, Cura",MakeMendel,".stl, .gcode",3 months,"$2,499 USD",Makemendel | Maxbot 3D Printer
,In Stock,USB or SD Card,"PLA,ABS,TPU,Wood,copper-bearing,Gradient,etc.",1.75mm,,443*466*488mm,8.4KG,0.4 mm,Win/mac/linux,100-120V / 200-240V,,"≤200mm/s,Normal printing speed 45-90mm/s",235*235*265mm,"LOTMAXX,Cura,Repetier-Host,Simplyfy3D",Lotmaxx,"STL,G-Code,AMF,OBJ",One Year,$499 USD,Lotmaxx SC-10 Shark V2 3D Printer
,In Stock,USB or SD Card,"PLA,ABS,TPU,Wood,copper-bearing,Gradient,etc.",1.75mm,,443*466*488mm,8.4KG,0.4 mm,Win/mac/linux,100-120V / 200-240V,,"≤200mm/s,Normal printing speed 45-90mm/s",235*235*265mm,"LOTMAXX,Cura,Repetier-Host,Simplyfy3D",Lotmaxx,"STL,G-Code,AMF,OBJ",One Year,$359 USD,Lotmaxx SC-10 Shark 3D Printer
100-240V,In Stock,TF Card,,,,2000mm*200mm*390mm,6.7 kg,,,72W,,up to 30mm/h,120 x 68 x 170mm,,Longer,STL,,$189 USD,Longer Orange 30 LCD SLA Resin 3D Printer
,In Stock,SD Card Offline Printing,,,,232*224*243mm,6.5 Kg,,,50W,,,128*72*150mm,Chitubox,Jgmaker,,,$409 USD,JGMAKER G3 LCD UV Resin 3D Printer
,In Stock,"TF card, USB",PLA,1.75mm,,238*228*266mm,3.5 Kg,0.4mm,"Win, Mac and Linux",24V-48W,,180mm/s,120*140*105mm,"Cura, Repetier host",Longer,"STL,gcode,OBJ",,$160 USD,Longer Cube2 3D Printer
3.5A,In Stock,"TF card or USB, LCD display and SD card reader","PLA, ABS, Wood,etc",1.75mm,0.05 mm,425 X 402 X 505 mm,7.8 Kg," 0.4mm (customized 0.3mm/0.2mm)
","Windows, Linux,  Mac","100-120V AC 7A, 200-240V, 280W, 50-60Hz",,120 mm/sec,220 x 220 x 250 mm,"Cura, Repetier-Host",Longer,"STL, G-code",1 Year,$196 USD,Longer LK4 Pro 3D Printer Kit
,In Stock,"USB, SD-Card","ABS, PLA, TPU, etc",1.75 mm,0.05 - 0.3 mm,1015 x 940 x 1340 mm,96 kg,0.4 mm,"Windows, MacOS, Linux","110-240V AC, 500W",,300 mm /sec,510 x 410 x 610 mm,"Cura, Repetier Host, Simplify3D",Jgmaker,"BMP,JPG,STL,G-code,OBJ",One Year,"$7,999 USD",JGMAKER A9 Large Industrial 3D Printer
100-240V,In Stock,TF Card,,,,170mm*170mm*360mm,5.4 kg,,,41W,,up to 30mm/h,98 x 55 x 140mm,,Longer,STL,,$139 USD,Longer Orange 10 LCD SLA Resin 3D Printer
,In Stock,"USB, SD-Card","ABS, PLA, TPU, etc",1.75 mm,0.1 - 0.3 mm,740 x 560 x 720 mm,32 kg,0.4 mm,"Windows, MacOS, Linux","110-220V AC, 50/60Hz, 350W",,150 mm /sec,350 x 250 x 300 mm,"Cura, Repetier Host, Simplify3D",Jgmaker,".STL, .OBJ, .GCODE",One Year,"$2,270 USD",JGMAKER A8S High Accuracy Industrial 3D Printer
3.5A,In Stock,"TF card or USB, LCD display and SD card reader","PLA, ABS, Wood,etc",1.75mm,0.1-0.4mm,,11 Kg,0.4mm,"Windows, Linux,  Mac","100-120V AC 7A, 200-240V AC 3.5A, 50-60Hz",,<120mm/s (Suggested 60-80mm/s),300*300*400mm,"Cura, Repetier-Host",Longer,"G-Code, STL,OBJ",1 Year,$349 USD,Longer LK5 Pro 3D Printer Kit
3.5A,In Stock,"TF card or USB, LCD display and SD card reader","PLA, ABS, Wood,etc",1.75mm,0.05 mm,425 X 402 X 505 mm,7.8 Kg," 0.4mm (customized 0.3mm/0.2mm)
","Windows, Linux,  Mac","100-120V AC 7A, 200-240V, 280W, 50-60Hz",,120 mm/sec,220 x 220 x 250 mm,"Cura, Repetier-Host",Longer,"STL, G-code",1 Year,$168 USD,Longer LK4 3D Printer Kit
,In Stock,"USB, LCD display and SD card reader
","ABS, PLA, Wood, etc",1.75 mm,0.05 - 0.3 mm,443*450*472mm,8 kg,0.4 mm,Windows/MAC/Linux,110V/220V,Black Diamond Glass platform,10-150 mm/sec,220*220*250mm,Cura/Simplify3D/JGCreat,Jgmaker,".STL, .OBJ, .GCODE",6 Months ,$219 USD,JGMAKER Magic 3D Printer Kit
,In Stock,"USB and SD card reader
","PLA,ABS,Wood",1.75 mm,0.05 - 0.3 mm,432 x 395 x 418 mm,21 Kg,0.4 mm,Windows/MAC/Linux,AC 100 - 220 V,Black Diamond Glass Heated Plate,10-150 mm/sec,240*220*200mm,JGcreat/CURA/Repetier-host/Simplify 3D,Jgmaker,"STL,OBJ,GCODE",6 Months ,"$1,690 USD",JGMAKER A7 Linear Guide Desktop 3D Printer
,In Stock,"USB, LCD display and SD card reader
","ABS, PLA, Wood, TPU, Nylon, PVA",1.75 mm,0.1 - 0.3 mm,430 x 400 x 410 mm,13.8 Kg,0.4 mm,Windows/MAC/Linux,110V/220V,Black Diamond Glass platform,20-100 mm/sec,305x305x320 mm,Cura/Simplify3D/JGCreat,Jgmaker,".STL, .OBJ, .GCODE",6 Months ,$339 USD,JGMAKER A5S 3D Printer
,In Stock,"USB, LCD Touch display and SD card reader
","ABS, PLA, Wood, TPU, Nylon, PVA",1.75 mm,0.1 - 0.3 mm,431 x 370 x 423 mm,9 Kg,0.4 mm,Windows/MAC/Linux,110V/220V,Black Diamond Glass Heated Plate,20-100 mm/sec,205 x 205 x 205mm,Cura/Simplify3D/JGCreat,Jgmaker,".STL, .OBJ, .GCODE",6 Months ,$282 USD,JGMAKER A3S 3D Printer
"100-240 Volts , 50-60 Hz",In Stock,"USB, SD card Supported ","PLA,ABS,NYLON,PVA,PP,TGLASE,WOOD,STONE,CARBON FIBER & MORE",1.75mm,0.05mm to 0.2mm,650 mm x 480 mm x 850mm,16kg,0.5mm - 0.3mm all metal,Windows/MAC/Linux,"24 volts , 14.5 Amp",Heated bed Glass,50 to 100 mm/sec,250 x 250 x 300 mm,Printware ,J Group Robotics,"STL,OBJ",One year - Limited Warranty,"$2,600 USD",J Group Robotics Dimension Dual Delta 3d Printer
